,str1,str2,num_codonors,num1,num2,numCommon,jacInd,divMin,divProd,instanceNum
0,ALAN GRAYSON,JULIA BROWNLEY,722,343000,91000,35200,0.088264794,0.386813187,1.13E-06,0
1,DONNA EDWARDS,CLAIRE MCCASKILL,723,143000,826000,8640,0.008996626,0.06041958,7.31E-08,0
2,JOE MIKLOSI,JOHN OCEGUERA,723,16700,29400,175,0.003810561,0.010479042,3.56E-07,0
3,MAZIE HIRONO,MARK POCAN,724,737000,116000,490000,1.349862259,4.224137931,5.73E-06,0
4,JOSE HERNANDEZ,JOHN OCEGUERA,724,2620000,29400,205,7.74E-05,0.006972789,2.66E-09,0
5,BETTY SUTTON,RICHARD CARMONA,725,57800,182000,172,0.000717779,0.002975779,1.64E-08,0
6,AMERISH BERA,KIRSTEN GILLIBRAND,725,1140,364000,160,0.00043838,0.140350877,3.86E-07,0
7,DIANNE FEINSTEIN,KATHLEEN HOCHUL,726,147000,21200,3630,0.022057483,0.171226415,1.16E-06,0
8,JON TESTER,BRADLEY SCHNEIDER,726,401000,42400,369,0.000832899,0.00870283,2.17E-08,0
9,RICHARD NOLAN,SEAN MALONEY,729,78800,119000,2100,0.01073071,0.026649746,2.24E-07,0
10,TAMMY BALDWIN,WILLIAM OWENS,730,123000,213000,4970,0.015013745,0.040406504,1.90E-07,0
11,LOUISE SLAUGHTER,SEAN MALONEY,730,421000,119000,17300,0.033097379,0.145378151,3.45E-07,0
12,JEFFRY FLAKE,THOMAS COTTON,730,305,72000,1,1.38E-05,0.003278689,4.55E-08,0
13,ALAN GRAYSON,BRADLEY SCHNEIDER,730,343000,42400,469,0.0012184,0.011061321,3.22E-08,0
14,JOE MIKLOSI,SEAN MALONEY,730,16700,119000,215,0.001586892,0.012874251,1.08E-07,0
15,JON TESTER,MARK TAKANO,731,401000,252000,32000,0.051529791,0.126984127,3.17E-07,0
16,DEBBIE STABENOW,RAUL GRIJALVA,733,491000,141000,42600,0.072276892,0.30212766,6.15E-07,0
17,ALAN GRAYSON,PATRICK KREITLOW,733,343000,2720,25,7.23E-05,0.009191176,2.68E-08,0
18,RAUL RUIZ,VALDEZ DEMINGS,734,379000,967,196,0.0005161,0.202688728,5.35E-07,0
19,JON TESTER,SHELLI YODER,735,401000,12000,233,0.000564483,0.019416667,4.84E-08,0
20,RAUL GRIJALVA,JOSEPH DONNELLY,736,141000,1020000,546,0.000470506,0.00387234,3.80E-09,0
21,CHRISTIE VILSACK,ROB ZERBAN,736,15100,106000,155,0.001281574,0.010264901,9.68E-08,0
22,BETTY SUTTON,SEAN MALONEY,737,57800,119000,1840,0.01051669,0.03183391,2.68E-07,0
23,DONNA EDWARDS,HEIDI HEITKAMP,737,143000,390000,33700,0.067494492,0.235664336,6.04E-07,0
24,AMY KLOBUCHAR,JOE MIKLOSI,737,580000,16700,86,0.000144147,0.005149701,8.88E-09,0
25,AMERISH BERA,SHELLI YODER,737,1140,12000,9,0.000685401,0.007894737,6.58E-07,0
26,BERNARD SANDERS,ROBERT KERREY,740,180000,13000,137,0.000710349,0.010538462,5.85E-08,0
27,DAVID GILL,ROBERT KERREY,740,555000,13000,9,1.58E-05,0.000692308,1.25E-09,0
